date,regime,strategy,short_call_symbol,short_call_type,short_call_strike,short_call_exp,short_call_bid,short_put_symbol,short_put_type,short_put_strike,short_put_exp,short_put_bid,long_call_symbol,long_call_type,long_call_strike,long_call_exp,long_call_ask,long_put_symbol,long_put_type,long_put_strike,long_put_exp,long_put_ask,pnl,cum_pnl
2025-04-07,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,431.00000000000006
2025-04-08,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,862.0000000000001
2025-04-09,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,1293.0000000000002
2025-04-10,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,1724.0000000000002
2025-04-11,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,2155.0000000000005
2025-04-14,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,2586.0000000000005
2025-04-15,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,3017.0000000000005
2025-04-16,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,3448.0000000000005
2025-04-17,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,3879.0000000000005
2025-04-18,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,4310.000000000001
2025-04-21,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,4741.000000000001
2025-04-22,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,5172.000000000001
2025-04-23,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,5603.000000000001
2025-04-24,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,6034.000000000001
2025-04-25,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,6465.000000000001
2025-04-28,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,6896.000000000001
2025-04-29,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,7327.000000000001
2025-04-30,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,7758.000000000001
2025-05-01,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,8189.000000000001
2025-05-02,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,8620.000000000002
2025-05-05,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,9051.000000000002
2025-05-06,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,9482.000000000002
2025-05-07,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,9913.000000000002
2025-05-08,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,10344.000000000002
2025-05-09,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,10775.000000000002
2025-05-12,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,11206.000000000002
2025-05-13,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,11637.000000000002
2025-05-14,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,12068.000000000002
2025-05-19,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,12499.000000000002
2025-05-20,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,12930.000000000002
2025-05-21,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,13361.000000000002
2025-05-22,HIGH_VOL,IronCondor,AA250711C00024000,call,24.0,2025-07-11,7.03,AA250711P00024000,put,24.0,2025-07-11,0.0,AA250711C00029500,call,29.5,2025-07-11,2.11,AA250711P00018000,put,18.0,2025-07-11,0.61,431.00000000000006,13792.000000000002
