date,regime,strategy,short_call,short_put,long_call,long_put,short_call_bid,short_put_bid,long_call_ask,long_put_ask
2025-04-07,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-07,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-08,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-08,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-09,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-09,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-10,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-10,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-11,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-11,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-14,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-14,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-15,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-15,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-16,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-16,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-17,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-17,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-18,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-18,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-21,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-21,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
2025-04-22,HIGH_VOL,IronCondor,AA250711C00024000,AA250711P00024000,AA250711C00029500,AA250711P00018000,,,,
2025-04-22,HIGH_VOL,IronButterfly,AA250711C00024000,AA250711P00024000,AA250711C00035000,,,,,
